ID,Easting,Northing,Elevation,Label
253221010,733859.142,9298996.547,809.979,GCP1
253221011,733905.562,9298876.033,815.151,GCP2
253221012,733844.755,9298803.627,830.129,GCP3
253221013,733899.286,9298642.972,847.471,GCP4
253221014,734016.757,9298689.783,853.177,GCP5
253141049,734098.419,9298561.255,842.729,GCP6
253141050,734200.87,9298505.967,842.867,GCP7
253141051,734301.664,9298502.355,847.594,GCP8
253141052,734341.473,9298423.431,853.69,GCP9
253141053,734456.303,9298426.409,854.941,GCP10
253141054,734550.139,9298335.778,852.061,GCP11
253141055,734638.893,9298286.111,854.407,GCP12
253141056,734748.888,9298176.257,863.545,GCP13
253141057,734810.026,9298067.587,858.922,GCP14
253141058,734943.203,9298080.589,850.916,GCP15
253141059,735015.765,9297928.555,858.314,GCP16
253141060,735092.357,9297858.821,851.167,GCP17
253141061,735073.257,9297707.24,848.153,GCP18
253221016,735092.239,9297636.353,846.296,GCP19
253141062,735228.171,9297537.925,826.639,GCP20
253221019,735363.416,9297460.534,826.503,GCP21
253221020,735475.089,9297432.44,824.916,GCP22
2503241000,735363.403,9297460.478,826.423,GCP 1
2503241001,735475.079,9297432.383,824.922,GCP 2
2503241002,735574.274,9297386.094,823.163,GCP 3
2503241004,735698.359,9297309.256,819.942,GCP 4
2503241005,735779.973,9297193.397,821.233,GCP 5
2503241006,735905.566,9297105.726,826.508,GCP 6
2503241007,736048.458,9297008.398,819.866,GCP 7
2503241008,736151.51,9296961.734,816.021,GCP 8
2503241009,736214.044,9296886.153,819.35,GCP 9
2503241010,736330.876,9296828.369,817.142,GCP 10
2503241011,736475.571,9296816.474,805.121,GCP 11
2503241012,736501.417,9296665.068,811.213,GCP 12
2503241013,736562.282,9296603.626,809.217,GCP 13
2503241014,736644.718,9296532.368,809.62,GCP 14
2503241015,745247.695,9289482.189,1233.566,GCP 100
2503241022,745251.337,9289378.54,1241.225,GCP 101
2503241023,745321.895,9289283.498,1243,GCP 102
2503241024,745385.456,9289174.192,1245.315,GCP 103
2503241025,745466.567,9289104.062,1245.938,GCP 104
2503241026,745553.02,9289015.008,1245.867,GCP 105
